tag,count,company,possible parent
christmas,295,,
ct,295,,
seed,295,,
pontiac,294,,
fiat,294,,
sauces/spices/condiments,294,,
callcredit,294,,
executives by industry,294,,
baseball,293,,
buy,293,,
smartphone,293,,
interest and affinity,292,,
aaaza,292,,
market by make/model,292,,
county reemergence,292,,
buyer,291,,
market make,291,,
domestic,290,,
sapphire,290,,
mobile occupation,290,,
category buyers,290,,
employee size,289,,
nielsen dar validated,289,,
fashion & beauty,288,,
sale,288,,
33across interest segments,288,,
one media connect,288,,
experian it,287,,
low propensity,286,,
9,286,,
8,286,,
hg data,286,,
shopping and retail,286,,
9,285,,
"$99,999",285,,
standard,284,,
professional,284,,
msa,284,,
acxiom financial,284,,
"$100,000",283,,
military,283,,
new hampshire,283,,
retailers,283,,
days,283,,
"industry, occupation or career",283,,
cnx in,283,,
500,282,,
keywords,282,,
yelp,282,,
ma,282,,
influencers,281,,
40,280,,
occupations,280,,
brand segment,280,,
infogroup consumer,280,,
fmcg retailer,279,,
no ndr,279,,
k,278,,
supermarkets,278,,
casual dining,278,,
sms_new mover,278,,
homescan,278,,
products services,277,,
seasonal and holiday,277,,
ziff davis,277,,
rti,277,,
agriculture,276,,
999,276,,
absco,276,,
medical,275,,
city,275,,
acxiom us cpg,275,,
201904,275,,
whize,275,,
cardlytics,274,,
business & industrial,274,,
6. intentions,274,,
13,273,,
for,273,,
core,273,,
aquitaine,273,,
sirdata i kantar tgi,273,,
5,272,,
suzuki,272,,
nouvelle,272,,
100,271,,
political affiliations,271,,
publisher,271,,
categories and brands,271,,
7,270,,
manager,270,,
automobile models,270,,
tv network,270,,
hockey,269,,
business firmographics,269,,
new mexico,269,,
14,269,,
marque distributeur,269,,
almacen,269,,
purchase wine,268,,
comscore tv network,268,,
tech enthusiasts,268,,
r3,268,,
employees_lp_dec_2018,268,,
director,267,,
supermarket,267,,
housing,267,,
location visited,267,,
operations,266,,
vegetables,266,,
behavior models,266,,
persons,266,,
demographics & segmentation,265,,
oregon,265,,
retail shopping,265,,
profession,265,,
liveramp,265,,
cheese,264,,
montana,264,,
computers and electronics,264,,
exelate location,264,,
opt,264,,
first party,264,,
programmatic audio,264,,
adadvisor audiences powered by neustar,264,,
crackers,263,,
diy,263,,
mo,263,,
outdoor activities,263,,
travel & tourism,263,,
es experian,263,,
amerilink b2b buying behavior,263,,
gamers,262,,
streaming services by brand,262,,
cable,261,,
retail & consumer goods,261,,
audiens,261,,
activities & services,261,,
blue collar worker,260,,
nxteck,260,,
auto insurance,259,,
employment status,259,,
college,259,,
hispanic,259,,
groceries,258,,
us stirista,258,,
h,257,,
technology installed,257,,
"region, comuna",257,,
economy,256,,
prizm,256,,
company location,256,,
american student marketing,256,,
credit card,255,,
15,255,,
management,255,,
al,255,,
pmd,255,,
mizkan,254,,
shopped last 12 months,254,,
product propensities,254,,
offline brand purchasers,253,,
nc,253,,
