,Data Provider Name,Data Provider ID,Segment ID,Segment Name
310,Lotame,422,1919006,automobile models - cadillac srx (lotame)
311,Lotame,422,1919007,automobile models - cadillac xts (lotame)
312,Lotame,422,1919008,automobile models - chevy avalanche (lotame)
313,Lotame,422,1919011,automobile models - chevy camaro (lotame)
314,Lotame,422,1919013,automobile models - chevy cavalier (lotame)
315,Lotame,422,1919015,automobile models - chevy cobalt (lotame)
316,Lotame,422,1919018,automobile models - chevy colorado (lotame)
317,Lotame,422,1919019,automobile models - chevy corvette (lotame)
318,Lotame,422,1919020,automobile models - chevy cruze (lotame)
319,Lotame,422,1919021,automobile models - chevy equinox (lotame)
320,Lotame,422,1919022,automobile models - chevy express (lotame)
321,Lotame,422,1919023,automobile models - chevy hhr (lotame)
322,Lotame,422,1919024,automobile models - chevy impala (lotame)
323,Lotame,422,1919025,automobile models - chevy k class (lotame)
324,Lotame,422,1919026,automobile models - chevy lumina (lotame)
325,Lotame,422,1919028,automobile models - chevy malibu (lotame)
326,Lotame,422,1919029,automobile models - chevy monte carlo (lotame)
327,Lotame,422,1919030,automobile models - chevy s10 (lotame)
328,Lotame,422,1919032,automobile models - chevy silverado (lotame)
329,Lotame,422,1919033,automobile models - chevy sonic (lotame)
330,Lotame,422,1919034,automobile models - chevy spark (lotame)
331,Lotame,422,1919035,automobile models - chevy suburban (lotame)
332,Lotame,422,1919244,automobile models - chevy tahoe (lotame)
333,Lotame,422,1919245,automobile models - chevy trailblazer (lotame)
334,Lotame,422,1919248,automobile models - chevy traverse (lotame)
335,Lotame,422,1919249,automobile models - chevy venture (lotame)
336,Lotame,422,1919250,automobile models - chevy volt (lotame)
337,Lotame,422,1919251,automobile models - chrysler 200 (lotame)
338,Lotame,422,1919252,automobile models - chrysler 300 (lotame)
339,Lotame,422,1919253,automobile models - chrysler pacifica (lotame)
340,Lotame,422,1919254,automobile models - chrysler pt cruiser (lotame)
341,Lotame,422,1919255,automobile models - chrysler sebring (lotame)
342,Lotame,422,1919256,automobile models - chrysler town & country (lotame)
343,Lotame,422,1919262,automobile models - dodge avenger (lotame)
344,Lotame,422,1919266,automobile models - dodge challenger (lotame)
345,Lotame,422,1919271,automobile models - dodge charger (lotame)
346,Lotame,422,1919274,automobile models - dodge dakota (lotame)
347,Lotame,422,1919276,automobile models - dodge dart (lotame)
348,Lotame,422,1919277,automobile models - dodge durango (lotame)
349,Lotame,422,1919278,automobile models - dodge grand caravan (lotame)
350,Lotame,422,1919279,automobile models - dodge intrepid (lotame)
351,Lotame,422,1919282,automobile models - dodge journey (lotame)
352,Lotame,422,1919283,automobile models - dodge neon (lotame)
353,Lotame,422,1919284,automobile models - dodge nitro (lotame)
354,Lotame,422,1919285,automobile models - dodge ram (lotame)
355,Lotame,422,1919286,automobile models - dodge stratus (lotame)
356,Lotame,422,1919288,automobile models - ford edge (lotame)
357,Lotame,422,1919295,automobile models - ford escape (lotame)
358,Lotame,422,1919296,automobile models - ford escort (lotame)
